Zip,Latitude,Longitude,Category
10002,40.713362,-73.986051,Junior+High
10009,40.729152,-73.982472,Junior+High
10003,40.732665,-73.98259,Junior+High
10036,40.761327,-73.988665,Junior+High
10010,40.739121,-73.985323,Junior+High
10011,40.743407,-74.00254,Junior+High
10128,40.783286,-73.945933,Junior+High
10023,40.772608,-73.988338,Junior+High
10026,40.80261,-73.954152,Junior+High
10026,40.80261,-73.954152,Junior+High
10029,40.792556,-73.942285,Junior+High
10030,40.817228,-73.947151,Junior+High
10027,40.815747,-73.95552,Junior+High
10035,40.807019,-73.938714,Junior+High
10039,40.823988,-73.935746,Junior+High
10030,40.815237,-73.944299,Junior+High
10040,40.860951,-73.930082,Junior+High
10032,40.833695,-73.942074,Junior+High
10033,40.849311,-73.930991,Junior+High
10035,40.802547,-73.942009,Junior+High
10009,40.726008,-73.975058,Elementray+Junior
10002,40.719148,-73.983769,Elementray+Junior
10002,40.711125,-73.985438,Elementray+Junior
10002,40.719888,-73.97738,Elementray+Junior
10019,40.76588,-73.989776,Elementray+Junior
10038,40.710651,-73.99742,Elementray+Junior
10044,40.753598,-73.956435,Elementray+Junior
10065,40.765638,-73.959777,Elementray+Junior
10280,40.706384,-74.017456,Elementray+Junior
10010,40.738374,-73.981329,Elementray+Junior
10026,40.802649,-73.948088,Elementray+Junior
10025,40.802653,-73.965949,Elementray+Junior
10027,40.80757,-73.955861,Elementray+Junior
10026,40.801573,-73.955583,Elementray+Junior
10025,40.791395,-73.971011,Elementray+Junior
10024,40.780536,-73.977602,Elementray+Junior
10023,40.775256,-73.982976,Elementray+Junior
10035,40.800616,-73.939374,Elementray+Junior
10029,40.792556,-73.942285,Elementray+Junior
10029,40.785559,-73.940919,Elementray+Junior
10029,40.797205,-73.941598,Elementray+Junior
10035,40.79969,-73.937179,Elementray+Junior
10029,40.795032,-73.947855,Elementray+Junior
10029,40.792302,-73.951425,Elementray+Junior
10030,40.820216,-73.944551,Elementray+Junior
10027,40.814914,-73.95202,Elementray+Junior
10027,40.817719,-73.952476,Elementray+Junior
10034,40.871456,-73.911732,Elementray+Junior
10040,40.856239,-73.93684,Elementray+Junior
10031,40.830004,-73.944666,Elementray+Junior
10034,40.871673,-73.912339,Elementray+Junior
10034,40.866381,-73.923818,Elementray+Junior
10280,40.706384,-74.017456,Elementray+Junior
10024,40.78633,-73.979217,Elementray+Junior
10002,40.719416,-73.979581,All Grades
10003,40.738521,-73.989481,All Grades
10019,40.764129,-73.985899,All Grades
10035,40.805653,-73.935461,All Grades
10128,40.780798,-73.955594,All Grades
10003,40.732665,-73.98259,All Grades
10014,40.729052,-74.006155,All Grades
10003,40.730009,-73.984496,Junior
10002,40.713362,-73.986051,Junior
10002,40.713362,-73.986051,Junior
10002,40.72004,-73.986038,Junior
10009,40.72313,-73.981597,Junior
10010,40.735879,-73.981034,Junior
10128,40.780452,-73.947379,Junior
10002,40.716231,-73.993607,Junior
10021,40.771541,-73.957827,Junior
10075,40.770215,-73.950745,Junior
10003,40.735328,-73.981536,Junior
10001,40.736526,-73.992727,Junior
10282,40.71701,-74.013967,Junior
10011,40.742512,-74.002222,Junior
10004,40.705688,-74.013303,Junior
10036,40.753099,-73.997641,Junior
10025,40.8007,-73.96327,Junior
10024,40.785234,-73.974256,Junior
10024,40.780536,-73.977602,Junior
10025,40.789479,-73.968419,Junior
10025,40.795109,-73.973996,Junior
10025,40.791395,-73.971011,Junior
10025,40.791395,-73.971011,Junior
10025,40.799098,-73.965611,Junior
10025,40.802653,-73.965949,Junior
10029,40.785107,-73.942154,Junior
10035,40.797507,-73.935895,Junior
10035,40.79969,-73.937179,Junior
10035,40.800616,-73.939374,Junior
10029,40.794184,-73.932868,Junior
10027,40.815747,-73.95552,Junior
10030,40.817228,-73.947151,Junior
10027,40.810793,-73.955722,Junior
10027,40.815747,-73.95552,Junior
10027,40.819793,-73.956814,Junior
10034,40.865556,-73.925464,Junior
10033,40.849311,-73.930991,Junior
10031,40.82051,-73.952023,Junior
10040,40.860951,-73.930082,Junior
10027,40.816626,-73.951292,Junior
10032,40.839139,-73.935815,Junior
10040,40.860951,-73.930082,Junior
10032,40.839139,-73.935815,Junior
10032,40.836982,-73.937263,Junior
10032,40.836982,-73.937263,Junior
10033,40.845459,-73.939785,Junior
10033,40.850683,-73.934676,Junior
10002,40.712269,-73.984128,High school
10002,40.722415,-73.990468,High school
10002,40.72004,-73.986038,High school
10002,40.72004,-73.986038,High school
10002,40.722415,-73.990468,High school
10002,40.718276,-73.976093,High school
10010,40.738374,-73.981329,High school
10038,40.711441,-74.000851,High school
10019,40.763655,-73.990318,High school
10038,40.711441,-74.000851,High school
10038,40.711441,-74.000851,High school
10019,40.765474,-73.9927,High school
10002,40.717329,-73.989329,High school
10019,40.765474,-73.9927,High school
10002,40.716231,-73.993607,High school
10019,40.765474,-73.9927,High school
10019,40.765474,-73.9927,High school
10002,40.717329,-73.989329,High school
10002,40.717329,-73.989329,High school
10011,40.743407,-74.00254,High school
10004,40.705688,-74.013303,High school
10003,40.735361,-73.987064,High school
10013,40.72463,-74.005058,High school
10011,40.743407,-74.00254,High school
10019,40.763655,-73.990318,High school
10002,40.716231,-73.993607,High school
10003,40.735361,-73.987064,High school
10019,40.767848,-73.98861,High school
10010,40.741888,-73.985723,High school
10011,40.742512,-74.002222,High school
10011,40.742512,-74.002222,High school
10021,40.770288,-73.953276,High school
10004,40.704697,-74.011202,High school
10011,40.743407,-74.00254,High school
10003,40.732665,-73.98259,High school
10006,40.708971,-74.012465,High school
10016,40.74651,-73.98107,High school
10016,40.74651,-73.98107,High school
10011,40.743407,-74.00254,High school
10003,40.735361,-73.987064,High school
10010,40.741963,-73.991966,High school
10065,40.765638,-73.959777,High school
10065,40.765638,-73.959777,High school
10282,40.718025,-74.013921,High school
10006,40.70927,-74.012328,High school
10016,40.74651,-73.98107,High school
10019,40.763655,-73.990318,High school
10065,40.765638,-73.959777,High school
10038,40.711441,-74.000851,High school
10036,40.757626,-73.98346,High school
10036,40.756089,-73.984381,High school
10003,40.735361,-73.987064,High school
10011,40.736416,-73.995731,High school
10019,40.765474,-73.9927,High school
10002,40.717329,-73.989329,High school
10019,40.767848,-73.98861,High school
10002,40.717329,-73.989329,High school
10003,40.735361,-73.987064,High school
10011,40.74182,-74.000238,High school
10004,40.689493,-74.018941,High school
10014,40.729052,-74.006155,High school
10065,40.765638,-73.959777,High school
10001,40.747425,-73.990562,High school
10003,40.732699,-73.984333,High school
10004,40.705688,-74.013303,High school
10003,40.729661,-73.992343,High school
10011,40.745677,-73.996354,High school
10011,40.743407,-74.00254,High school
10013,40.72463,-74.005058,High school
10019,40.763655,-73.990318,High school
10019,40.759248,-73.967204,High school
10023,40.774891,-73.985608,High school
10023,40.774891,-73.985608,High school
10024,40.786134,-73.974483,High school
10024,40.786134,-73.974483,High school
10024,40.786134,-73.974483,High school
10024,40.786134,-73.974483,High school
10023,40.774202,-73.985976,High school
10023,40.774891,-73.985608,High school
10023,40.774891,-73.985608,High school
10025,40.797136,-73.966779,High school
10023,40.774891,-73.985608,High school
10035,40.799265,-73.93374,High school
10029,40.794184,-73.932868,High school
10029,40.790191,-73.944092,High school
10029,40.793649,-73.948488,High school
10029,40.791966,-73.946879,High school
10035,40.807019,-73.938714,High school
10035,40.807692,-73.939974,High school
10030,40.817228,-73.947151,High school
10027,40.815747,-73.95552,High school
10030,40.817228,-73.947151,High school
10031,40.820208,-73.950354,High school
10034,40.865556,-73.925464,High school
10034,40.865556,-73.925464,High school
10040,40.856532,-73.92606,High school
10040,40.856532,-73.92606,High school
10040,40.856532,-73.92606,High school
10040,40.856532,-73.92606,High school
10031,40.8185,-73.949929,High school
10032,40.8381,-73.9383,High school
10014,40.729052,-74.006155,High school
10003,40.725892,-73.987791,High school
10009,40.722075,-73.978747,Elementary
10003,40.730009,-73.984496,Elementary
10002,40.721305,-73.986312,Elementary
10009,40.72444,-73.986214,Elementary
10009,40.72313,-73.981597,Elementary
10002,40.7162,-73.9798,Elementary
10002,40.714248,-73.983854,Elementary
10002,40.714248,-73.983854,Elementary
10002,40.718121,-73.984116,Elementary
10009,40.727537,-73.978254,Elementary
10009,40.727537,-73.978254,Elementary
10009,40.72444,-73.986214,Elementary
10009,40.72313,-73.981597,Elementary
10038,40.71255,-73.997478,Elementary
10002,40.712907,-73.991523,Elementary
10014,40.732603,-74.005949,Elementary
10028,40.777737,-73.960427,Elementary
10011,40.744186,-74.000743,Elementary
10001,40.749014,-74.000238,Elementary
10003,40.735328,-73.981536,Elementary
10011,40.73545,-73.999094,Elementary
10002,40.716126,-73.990826,Elementary
10036,40.761487,-73.995825,Elementary
10019,40.759248,-73.967204,Elementary
10128,40.785018,-73.95042,Elementary
10282,40.71701,-74.013967,Elementary
10016,40.744511,-73.977906,Elementary
10002,40.715097,-73.996017,Elementary
10013,40.71866,-73.998326,Elementary
10013,40.71953,-74.01088,Elementary
10075,40.770215,-73.950745,Elementary
10065,40.763804,-73.957731,Elementary
10128,40.785018,-73.95042,Elementary
10036,40.761327,-73.988665,Elementary
10007,40.71953,-74.01088,Elementary
10065,40.763883,-73.963861,Elementary
10028,40.775181,-73.952777,Elementary
10038,40.708774,-74.002407,Elementary
10128,40.780652,-73.947856,Elementary
10024,40.785234,-73.974256,Elementary
10025,40.795109,-73.973996,Elementary
10027,40.806534,-73.951451,Elementary
10025,40.789479,-73.968419,Elementary
10024,40.78171,-73.97802,Elementary
10025,40.799098,-73.965611,Elementary
10025,40.795163,-73.96847,Elementary
10024,40.788925,-73.972557,Elementary
10023,40.771603,-73.987515,Elementary
10023,40.777603,-73.984423,Elementary
10026,40.798461,-73.950146,Elementary
10027,40.806055,-73.948385,Elementary
10024,40.780536,-73.977602,Elementary
10035,40.796889,-73.930528,Elementary
10029,40.788668,-73.944762,Elementary
10029,40.791444,-73.94745,Elementary
10029,40.793363,-73.941955,Elementary
10029,40.795,-73.938418,Elementary
10029,40.789535,-73.938727,Elementary
10035,40.797507,-73.935895,Elementary
10029,40.793363,-73.941955,Elementary
