School Year,ATS System Code,Location Code,Location Name,BEDS Number,Managed By Name,Location Type Description,Location Category Description,Grades,Grades Final,Open Date,Status Description,Building Code,Primary Address,City,State Code,Zip,Principal Name,Principal Title,Principal Email,Principal Phone Number,Fax Number,Geographical District Code,Administrative District Code,Administrative District Location Code,Administrative District Name,Superintendent,Superintendent Location Code,Superintendent Email,Community School Sup Name,Community School Sup Email,BFSC Location Code,BFSC Director Name,BFSC Director Title,BFSC Director Phone,BFSC Director Email,HighSchool Network Location Code,HighSchool Network Name,HighSchool Network Superintendent,HighSchool Network Superintendent Email,PROSE SCHOOL,X Coordinate,Y Coordinate,Latitude,Longitude
2015-16,01M015,M015,P.S. 015 Roberto Clemente,310100010015,DOE,General Academic,Elementary,"PK,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",01/01/1644,Open,M015,333 EAST 4 STREET,MANHATTAN,NY,10009,IRENE SANCHEZ,PRINCIPAL,ISanchez11@schools.nyc.gov,212-228-8730,212-477-0931,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"PHILLIPS, DANIELLA",M801,DPhilli@schools.nyc.gov,"PHILLIPS, DANIELLA",DPhilli@schools.nyc.gov,MFSC,"CHU, YUET",BFSC Director,646-470-0721,YChu@schools.nyc.gov,,,,,N,990141,202349,40.722075,-73.978747
2015-16,01M019,M019,P.S. 019 Asher Levy,310100010019,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",01/01/20637,Open,M019,185 1 AVENUE,MANHATTAN,NY,10003,JACQUELINE FLANAGAN,PRINCIPAL,JFlanagan@schools.nyc.gov,212-533-5340,212-673-1477,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"PHILLIPS, DANIELLA",M801,DPhilli@schools.nyc.gov,"PHILLIPS, DANIELLA",DPhilli@schools.nyc.gov,MFSC,"CHU, YUET",BFSC Director,646-470-0721,YChu@schools.nyc.gov,,,,,N,988547,205239,40.730009,-73.984496
2015-16,01M020,M020,P.S. 020 Anna Silver,310100010020,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",01/01/23193,Open,M020,166 ESSEX STREET,MANHATTAN,NY,10002,Carmen Colon,PRINCIPAL,CColon5@schools.nyc.gov,212-254-9577,212-254-3526,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"PHILLIPS, DANIELLA",M801,DPhilli@schools.nyc.gov,"PHILLIPS, DANIELLA",DPhilli@schools.nyc.gov,MFSC,"CHU, YUET",BFSC Director,646-470-0721,YChu@schools.nyc.gov,,,,,N,988044,202068,40.721305,-73.986312
2015-16,01M034,M034,P.S. 034 Franklin D. Roosevelt,310100010034,DOE,General Academic,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE","PK,0K,01,02,03,04,05,06,07,08",01/01/20271,Open,M034,730 EAST 12 STREET,MANHATTAN,NY,10009,Rosemarie Gonzalez,PRINCIPAL,RGonzal52@schools.nyc.gov,212-228-4433,212-353-1973,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"PHILLIPS, DANIELLA",M801,DPhilli@schools.nyc.gov,"PHILLIPS, DANIELLA",DPhilli@schools.nyc.gov,MFSC,"CHU, YUET",BFSC Director,646-470-0721,YChu@schools.nyc.gov,,,,,N,991163,203782,40.726008,-73.975058
2015-16,01M063,M063,The STAR Academy - P.S.63,310100010063,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",01/01/2009,Open,M063,121 EAST 3 STREET,MANHATTAN,NY,10009,DARLENE CAMERON,PRINCIPAL,DCameron2@schools.nyc.gov,212-674-3180,212-420-9018,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"PHILLIPS, DANIELLA",M801,DPhilli@schools.nyc.gov,"PHILLIPS, DANIELLA",DPhilli@schools.nyc.gov,MFSC,"CHU, YUET",BFSC Director,646-470-0721,YChu@schools.nyc.gov,,,,,N,988071,203210,40.72444,-73.986214
2015-16,01M064,M064,P.S. 064 Robert Simon,310100010064,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,06,SE","PK,0K,01,02,03,04,05",01/01/19906,Open,M064,600 EAST 6 STREET,MANHATTAN,NY,10009,Marlon L. Hosang,PRINCIPAL,mhosang@schools.nyc.gov,212-673-6510,212-477-2369,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"PHILLIPS, DANIELLA",M801,DPhilli@schools.nyc.gov,"PHILLIPS, DANIELLA",DPhilli@schools.nyc.gov,MFSC,"CHU, YUET",BFSC Director,646-470-0721,YChu@schools.nyc.gov,,,,,N,989351,202733,40.72313,-73.981597
2015-16,01M110,M110,P.S. 110 Florence Nightingale,310100010110,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",12/27/0912,Open,M110,285 DELANCY STREET,MANHATTAN,NY,10002,KAREN FEUER,PRINCIPAL,KFeuer@schools.nyc.gov,212-674-2690,212-475-5835,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"PHILLIPS, DANIELLA",M801,DPhilli@schools.nyc.gov,"PHILLIPS, DANIELLA",DPhilli@schools.nyc.gov,MFSC,"CHU, YUET",BFSC Director,646-470-0721,YChu@schools.nyc.gov,,,,,N,989817,199992,40.7162,-73.9798
2015-16,01M134,M134,P.S. 134 Henrietta Szold,310100010134,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",01/01/22098,Open,M134,293 EAST BROADWAY,MANHATTAN,NY,10002,Daniel Kim,PRINCIPAL,DKim@schools.nyc.gov,212-673-4470,212-475-6142,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"PHILLIPS, DANIELLA",M801,DPhilli@schools.nyc.gov,"PHILLIPS, DANIELLA",DPhilli@schools.nyc.gov,MFSC,"CHU, YUET",BFSC Director,646-470-0721,YChu@schools.nyc.gov,,,,,N,988726,199497,40.714248,-73.983854
2015-16,01M137,M137,P.S. 137 John L. Bernstein,310100010137,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",01/01/24289,Open,M134,293 EAST BROADWAY,MANHATTAN,NY,10002,SARAH PINTO VIAGRAN,I.A. PRINCIPAL,SPinto4@schools.nyc.gov,646-602-2140,646-602-2146,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"PHILLIPS, DANIELLA",M801,DPhilli@schools.nyc.gov,"PHILLIPS, DANIELLA",DPhilli@schools.nyc.gov,MFSC,"CHU, YUET",BFSC Director,646-470-0721,YChu@schools.nyc.gov,,,,,N,988726,199497,40.714248,-73.983854
2015-16,01M140,M140,P.S. 140 Nathan Straus,310100010140,DOE,General Academic,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE","PK,0K,01,02,03,04,05,06,07,08",01/01/21732,Open,M140,123 RIDGE STREET,MANHATTAN,NY,10002,MELISSA RODRIGUEZ,PRINCIPAL,MRodrig19@schools.nyc.gov,212-677-4680,212-677-3907,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"PHILLIPS, DANIELLA",M801,DPhilli@schools.nyc.gov,"PHILLIPS, DANIELLA",DPhilli@schools.nyc.gov,MFSC,"CHU, YUET",BFSC Director,646-470-0721,YChu@schools.nyc.gov,,,,,N,988749,201282,40.719148,-73.983769
2015-16,01M142,M142,P.S. 142 Amalia Castro,310100010142,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",01/01/27942,Open,M142,100 ATTORNEY STREET,MANHATTAN,NY,10002,DAPHNA GUTMAN,Acting Principal,DGutman@schools.nyc.gov,212-598-3800,212-598-3810,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"PHILLIPS, DANIELLA",M801,DPhilli@schools.nyc.gov,"PHILLIPS, DANIELLA",DPhilli@schools.nyc.gov,MFSC,"CHU, YUET",BFSC Director,646-470-0721,YChu@schools.nyc.gov,,,,,N,988653,200908,40.718121,-73.984116
