zipcode,age
10026,33.60 
10027,30.70 
10030,34.00 
10037,37.60 
10039,33.30 
10001,34.70 
10011,39.70 
10018,30.90 
10019,38.80 
10020,50.80 
10036,38.20 
10029,33.50 
10035,34.20 
10010,35.10 
10016,32.80 
10017,37.20 
10022,45.30 
10012,34.10 
10013,36.40 
10014,36.70 
10004,33.10 
10005,28.60 
10006,31.30 
10007,34.00 
10038,32.40 
10280,37.90 
10021,42.70 
10028,40.30 
10044,40.20 
10065,38.90 
10075,40.90 
10023,41.30 
10024,41.80 
10025,38.20 
10031,33.00 
10032,34.50 
10033,35.90 
10034,36.50 
10040,37.00 
10128,38.80 
10002,39.80 
10003,32.30 
10009,36.30 
