Zip Code,density
10028,126067.69
10031,101100.03
10009,100687.04
10032,97879.45
10016,93367.31
10003,93255.87
10002,91610.4
10026,91152.04
10023,90007.7
10025,88306.24
10030,85824.24
10021,82704.42
10029,80506.67
10012,80124.51
10033,78867.63
10040,75283.14
10011,71113.64
10039,70988.68
10010,70827.7
10022,68953.71
10037,65200.97
10024,58433.71
10014,57977.33
10038,55019.61
10027,55006.21
10017,49391.49
10019,48230.17
10034,47051.23
10013,45458.99
10280,44080.87
10044,39391.64
10036,36429.01
10035,23818.08
10001,26111.88
10018,21820
10004,5015
10005,92791
10006,27307
10007,39918
10065,84898
10075,134653
10128,127735
10020,2534
